HotspotID,LabName,Addresses
148,"Vijaya Diagnostic Centre Pvt. Ltd, Hyderabad","Vijaya Diagnostic Centre Pvt. Ltd, 3-6-16 & 17, Street No.19, opp. Lane to Tanishq, Chandra Nagar, Himayatnagar, Hyderabad, Telangana 500029"
149,"Vimta Labs Ltd., Hyderabad","Vimta Labs Ltd., Plot No. 142, Phase 2, IDA Cherlapally, Hyderabad, Telangana, India 500051"
151,"S. N. GENELAB, Nanpura, Surat","S. N. GENELAB, 2nd Floor, President Plaza-A, Nanpura, Surat, Gujarat, India 395001"
152,"Neuberg Ehrlich Laboratory Pvt Ltd,  Chennai","Neuberg Ehrlich Laboratory Pvt Ltd, 46 & 48, Masilamani Road, Balaji Nagar, Royapettah, Chennai - 600 014, Tamil Nadu"
153,"A.G Diagnostics Pvt Ltd,  Pune","A.G Diagnostics Pvt Ltd, CTS No 809, F.P. 147, Nayantara Building, Bhandarkar Road, Pune, Maharashtra 411004"
154,"Cancyte Technologies Private Limited, Bengaluru","Cancyte Technologies Private Limited, Sri Shankara Research Centre, Bengaluru, Karnataka 560018"
155,"Kokilaben Dhirubhai Ambani Hospital Laboratory, Mumbai","Kokilaben Dhirubhai Ambani Hospital Laboratory, Four Bungalows, Andheri (West), Mumbai, Maharashtra, India"
156,"Max lab, Max Super Speciality Hospita, New Delhi","Max lab, Max Super Speciality Hospital, 1, Press Enclave Road, Saket New Delhi 110017"
157,"InfeXn Laboratories Private Ltd, Thane","InfeXn Laboratories Private Ltd, A/131, Therelek Compound, Road Number 23, Wagle Industrial Estate, Thane West, Thane, Maharashtra 400604"
158,"Indira Gandhi Institute of Medical Sciences, Patna","Allahabad bank, Bailey Rd, Sheikhpura, Patna, Bihar 800014"
159,"State Public Health Laboratory, Trivandrum","Red Cross Road, Rishimangalam, Pattoor, Thiruvananthapuram, Kerala 695024"
160,"Interuniversity, Kottayam","Thalappady, Kerala 686019"
161,"Grant Medical College & Sir JJ Hospital, Mumbai","J J Marg, Nagpada-Mumbai Central, J J Marg, Nagpada-Mumbai Central, Mumbai, Maharashtra 400008"
162,"All India Institute of Medical Sciences (AIIMS), Bhubaneswar","All India Institute of Medical Sciences (AIIMS), Sijua, Patrapada, Bhubaneswar, Odisha 751019"
